Num of points,MRI-Spine: GM,MRI-Spine: SC,MRI-Heart,MRI-Prostate,MRI-Brain: Core,MRI-Brain: Edema,MRI-Brain: GD,MRI-Breast: Breast,MRI-Breast: FGT,Xray-Chest,Xray-Hip: Ilium,Xray-Hip: Femur,US-Breast,US-Kidney,US-Nerve,US-Muscle,US-Variantumor,CT-Liver,CT-Organ: Liver,CT-Organ: Bladder,CT-Organ: Lung,CT-Organ: Kidney,CT-Organ: Bone,CT-Spleen,CT-Colon,CT-Pancreas,CT-Hepatovessel,PET-Wholebody
1,0.009776697,0.064966565,0.031878882,0.056176431,0.025811666,0.136587317,0.178802495,0.401831015,0.127263521,0.017399807,0.473251112,0.247120046,0.227658544,0.186122093,0.029403263,0.210569491,0.203615625,0.086053854,0.115138964,0.337620822,0.194030643,0.084108101,0.147452457,0.036503824,0.022889909,0.016603625,0.01956532,0.014308346
2,0.068667712,0.347604107,0.249125446,0.1944822,0.210006062,0.282736389,0.264742438,0.546480434,0.207528461,0.189691616,0.646843857,0.24760928,0.533022288,0.241617361,0.162263621,0.300972757,0.485504215,0.382499465,0.456108544,0.514644855,0.323987645,0.222086953,0.271730279,0.476155671,0.241041065,0.148854411,0.09798397,0.182438889
3,0.154209721,0.746773816,0.55001828,0.340019777,0.236681708,0.361771356,0.309778051,0.699137796,0.251447991,0.477084273,0.688482455,0.247425019,0.663302256,0.44918303,0.27393084,0.39539574,0.600270934,0.618278285,0.543890146,0.577171719,0.42489841,0.311404133,0.369327315,0.806914013,0.489541566,0.462619064,0.279317908,0.378661778
4,0.21684836,0.892405101,0.676870639,0.501080067,0.242542209,0.394699765,0.319229324,0.804759199,0.28326333,0.699922214,0.69362893,0.247221362,0.750896218,0.713147694,0.359931088,0.445786427,0.704843719,0.738720174,0.592463057,0.598386179,0.480453971,0.372974286,0.445158454,0.887687304,0.60397035,0.613247552,0.368131341,0.469181529
5,0.265030949,0.924699564,0.744049431,0.629485554,0.242154976,0.412765858,0.321642999,0.865720902,0.337969453,0.809688804,0.695911906,0.247417335,0.810460731,0.811335838,0.428248214,0.643546062,0.776301034,0.809028787,0.623963797,0.610775455,0.49233884,0.435245423,0.49780431,0.909903533,0.691907605,0.704259619,0.427880846,0.523284619
6,0.293561637,0.936065097,0.781527363,0.730566168,0.241348761,0.425597662,0.322459763,0.898664187,0.396409222,0.864812026,0.696607856,0.247236398,0.8438083,0.862407998,0.535131673,0.707554486,0.827314184,0.857053478,0.642652954,0.619250626,0.498056709,0.475407592,0.521437292,0.923824123,0.753749049,0.768801437,0.470085891,0.553297118
7,0.339553131,0.941408456,0.809197888,0.798286357,0.239756967,0.432402415,0.322503837,0.91438182,0.419718229,0.891209937,0.69633196,0.247038081,0.872005705,0.900013577,0.635584238,0.754948718,0.866732198,0.887371351,0.650995682,0.625320391,0.505517236,0.500040239,0.531951126,0.932297287,0.788843536,0.809973718,0.502399452,0.56522908
8,0.397066238,0.94591996,0.82966044,0.839945735,0.239260708,0.437825163,0.321764581,0.927722872,0.43637957,0.905989902,0.696155826,0.246879107,0.893606449,0.92246739,0.72420605,0.786267115,0.89277063,0.907604086,0.658782923,0.629542152,0.508517805,0.515757562,0.539467557,0.938039262,0.817118128,0.838108995,0.52857919,0.581858984
9,0.412193052,0.949736334,0.845647817,0.868920434,0.238503004,0.441827948,0.32143899,0.93506419,0.456128524,0.917510153,0.695700578,0.246786427,0.908231648,0.932989257,0.77823478,0.813730829,0.909237121,0.920241409,0.663375988,0.63332767,0.510802672,0.528933515,0.545852604,0.941726217,0.83594024,0.857004672,0.546440041,0.594484696
